control_domain,control_title,control_id,control_specification,question_id,consensus_assessments_question,control_type,relevant_threat_categories,relevant_stack_components,used_by_agent,criticality
"Governance, Risk and Compliance",Governance Program Policy and Procedures,GRC-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for an information governance program, which is sponsored by the leadership of the organization and related to AI systems as well. Review and update the policies and procedures at least annually.",GRC-01.1,"Are policies and procedures established, documented, approved, communicated, applied, evaluated, and maintained for an information governance program that is sponsored by the leadership of the organization and related to AI systems as well?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,GRC-01.2,Are policies and procedures for information governance program and related to AI systems reviewed and updated at least annually?,,,,missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Risk Management Program,GRC-02,"Establish and maintain a formal, documented, and leadership-sponsored AI Risk Management (AIRM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of risks.",GRC-02.1,"Is a formal, documented, and leadership-sponsored AI risk management (AIRM) program that includes policies and procedures for identification, evaluation, ownership, treatment, and acceptance of risks, established and maintained?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Organizational Policy Reviews,GRC-03,Review all relevant organizational policies and associated procedures at least annually or when a substantial change occurs within the organization.,GRC-03.1,"Are relevant organizational policies and associated procedures reviewed at least annually or when a substantial change within the organization, occurs?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Policy Exception Process,GRC-04,Establish and follow an approved exception process as mandated by the governance program whenever a deviation from an established policy occurs.,GRC-04.1,Is an approved exception process mandated by the governance program established and followed whenever a deviation from an established policy occurs?,Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Information Security Program,GRC-05,"Develop and implement an Information Security Program, which includes programs for all the relevant domains of the AICM.",GRC-05.1,Is an Information Security Program that includes programs for all the relevant domains of the AICM developed and implemented?,Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Governance Responsibility Model,GRC-06,"Define and document roles and responsibilities for planning, implementing, operating, assessing, and improving governance programs.",GRC-06.1,"Are roles and responsibilities defined and documented for planning, implementing, operating, assessing, and improving governance programs?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Information System Regulatory Mapping,GRC-07,"Identify and document all relevant standards, regulations, legal/contractual, and statutory requirements, which are applicable to your organization. Review at least annually or when a substantial change occurs within the organization.",GRC-07.1,"Are all relevant standards, regulations, legal/contractual, and statutory requirements, applicable to your organization, identified and documented?",Cloud & AI Related,"Sensitive data disclosure, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,GRC-07.2,"Are all relevant standards,regulations, legal/contractual and statutory requirements reviewed and updated at least annually or when a substantial change occurs within the organization?",,,,missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Special Interest Groups,GRC-08,Establish and maintain contact with related special interest groups and other relevant entities in line with business context.,GRC-08.01,Is contact established and maintained with related special interest groups and other relevant entities in line with business context?,Cloud & AI Related,,"App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Acceptable Use of the AI Service,GRC-09,"Define, document and enforce policies and procedures on the acceptable use of AI services offered by the organization. Ensure effectiveness by continuous risk assessments, reviews and human oversight.",GRC-09.1,"Are policies and procedures defined, documented, and enforced for the acceptable use of AI services offered by the organization?",AI-Specific,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS)","App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,GRC-09.2,"Is effectiveness of the acceptable use of AI services policies and procedures evaluated by continuous risk assessments, reviews, and human oversight?",,,,missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",AI Impact Assessment,GRC-10,"Establish, document, and communicate to all relevant stakeholders an AI Impact Assessment process and its criteria to regularly evaluate the ethical, societal, operational, legal, and security impacts of the AI system throughout its lifecycle.",GRC-10.1,"Is an AI Impact Assessment process and its criteria to regularly evaluate the ethical, societal, operational, legal, and security impacts of the AI system throughout its lifecycle, established, documented, and communicated to all relevant stakeholders?",AI-Specific,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Bias and Fairness Assessment,GRC-11,"Regularly evaluate AI systems, models, datasets & algorithms for bias and fairness to ensure compliance with ethical standards.",GRC-11.1,"Are AI systems, models, datasets & algorithms regularly evaluated for bias and fairness to ensure compliance with ethical standards?",AI-Specific,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Ethics Committee,GRC-12,"Establish an ethics committee to review AI applications, ensuring alignment with ethical standards and organizational values.",GRC-12.1,"Is an ethics committee established to review AI applications, ensuring alignment with ethical standards and organizational values?",AI-Specific,"Sensitive data disclosure, Loss of governance/compliance","App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Explainability Requirement,GRC-13,"Establish, document, and communicate the degree of explainability needed for the AI Services.",GRC-13.1,"Is the degree of explainability required for the AI Services established, documented, and communicated?",AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Explainability Evaluation,GRC-14,"Evaluate, document, and communicate the degree of explainability of the AI Services, including possible limitations and exceptions.",GRC-14.1,"Is the degree of explainability of the AI Services evaluated, documented, and communicated, including possible limitations and exceptions?",AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
"Governance, Risk and Compliance",Human supervision,GRC-15,"Establish, execute, and assess processes, procedures, and technical measures to ensure human oversight and control of the AI system in compliance with regulatory requirements and organizational risk management.",GRC-15.1,"Are processes, procedures, and technical measures to ensure human oversight and control of the AI system in compliance with regulatory requirements and organizational risk management, established, executed and assessed?",AI-Specific,"Model manipulation, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Denial of Service (DoS)","Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Human Resources,Background Screening Policy and Procedures,HRS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for background verification of all new employees (including but not limited to remote employees, contractors, and third parties) according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, the business requirements, and acceptable risk. Review and update the policies and procedures at least annually.",HRS-01.1,"Are new employee background verification policies and procedures (including but not limited to remote employees, contractors, and third parties) established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-01.2,"Are background verification policies and procedures designed according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, business requirements, and acceptable risk?",,,,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-01.3,Are background verification policies and procedures reviewed and updated at least annually?,,,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Acceptable Use of Technology Policy and Procedures,HRS-02,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets. Review and update the policies and procedures at least annually.",HRS-02.1,"Are policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-02.2,Are the policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets reviewed and updated at least annually?,,,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Clean Desk Policy and Procedures,HRS-03,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures that require unattended workspaces to not have openly visible confidential data. Review and update the policies and procedures at least annually.",HRS-03.1,"Are policies and procedures requiring unattended workspaces to conceal confidential data established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-03.2,Are policies and procedures requiring unattended workspaces to conceal confidential data reviewed and updated at least annually?,,,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Remote and Home Working Policy and Procedures,HRS-04,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect information accessed, processed or stored at remote sites and locations. Review and update the policies and procedures at least annually.",HRS-04.1,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations established, documented, approved, communicated, applied, evaluated, and maintained?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-04.2,"Are policies and procedures to protect information accessed, processed, or stored at remote sites and locations reviewed and updated at least annually?",,,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Asset returns,HRS-05,Establish and document procedures for the return of organization-owned assets by terminated employees.,HRS-05.1,Are return procedures of organizationally-owned assets by terminated employees established and documented?,Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Employment Termination,HRS-06,"Establish, document, and communicate to all personnel the procedures outlining the roles and responsibilities concerning changes in employment.",HRS-06.1,"Are procedures outlining the roles and responsibilities concerning changes in employment established, documented, and communicated to all personnel?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Employment Agreement Process,HRS-07,"Employees sign the employee agreement prior to being granted access to organizational information systems, resources and assets.",HRS-07.1,"Are employees required to sign an employment agreement before gaining access to organizational information systems, resources, and assets?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Employment Agreement Content,HRS-08,The organization includes within the employment agreements provisions and/or terms for adherence to established information governance and security policies.,HRS-08.1,Are provisions and/or terms for adherence to established information governance and security policies included within employment agreements?,Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Personnel Roles and Responsibilities,HRS-09,"Document and communicate roles and responsibilities of employees, as they relate to information assets and security.",HRS-09.1,Are employee roles and responsibilities relating to information assets and security documented and communicated?,Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Non-Disclosure Agreements,HRS-10,"Identify, document, and review, at planned intervals, requirements for non-disclosure/confidentiality agreements reflecting the organization's needs for the protection of data and operational details.",HRS-10.1,"Are requirements for non-disclosure/confidentiality agreements reflecting organizational data protection needs and operational details identified, documented, and reviewed at planned intervals?",Cloud & AI Related,Loss of governance/compliance,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Security Awareness Training,HRS-11,"Establish, document, approve, communicate, apply, evaluate and maintain a security awareness training program for all employees of the organization and provide regular training updates.",HRS-11.1,"Is a security awareness training program for all employees of the organization established, documented, approved, communicated, applied, evaluated and maintained?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-11.2,Are regular security awareness training updates provided?,,,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Personal and Sensitive Data Awareness and Training,HRS-12,"Provide employees with access to sensitive organizational and personal data with appropriate security awareness training and regular updates in organizational procedures, processes, and policies relating to their professional function relative to the organization.",HRS-12.1,"Are employees with access to sensitive organizational and personal data, provided with appropriate security awareness training and regular updates in organizational procedures, processes, and policies, relating to their professional function relative to the organization?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance",,missing_info_agent; validation_agent; final_output_agent,
Human Resources,Compliance User Responsibility,HRS-13,"Make employees aware of their roles and responsibilities for maintaining awareness and compliance with established policies and procedures and applicable legal, statutory, or regulatory compliance obligations.",HRS-13.1,"Are employees notified of their roles and responsibilities to maintain awareness and compliance with established policies, procedures, and applicable legal, statutory, or regulatory compliance obligations?",Cloud & AI Related,"Sensitive data disclosure, Insecure supply chain, Loss of governance/compliance",,missing_info_agent; validation_agent; final_output_agent,
Human Resources,AI Competency Training,HRS-14,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures defining the AI training program for all relevant personnel of the organization based on their roles and provide regular training updates.",HRS-14.1,"Are the policies and procedures defining the AI training program for all relevant personnel of the organization established, documented, approved, communicated, applied, evaluated, and maintained?",AI-Specific,"Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance",,missing_info_agent; validation_agent; final_output_agent,
,,,,HRS-14.2,Are regular training updates given to personnel based on their roles?,,,,missing_info_agent; validation_agent; final_output_agent,
Human Resources,AI Acceptable Use,HRS-15,"Establish, document, and communicate to all personnel the policies and procedures on the acceptable use of AI technologies within the organization.",HRS-15.1,"Are the policies and procedures on the acceptable use of AI technologies within the organization established, documented, and communicated to all personnel?",AI-Specific,"Sensitive data disclosure, Loss of governance/compliance",,missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Identity and Access Management Policy and Procedures,IAM-01,"Establish, document, approve, communicate, implement, apply, evaluate and maintain policies and procedures for identity and access management. Review and update the policies and procedures at least annually, or upon significant changes.",IAM-01.1,"Are Identity and Access Management policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained for identity and access management?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,IAM-01.2,"Are Identity and Access Management Policies and Procedures reviewed and updated at least annually, or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Strong Password Policy and Procedures,IAM-02,"Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.",IAM-02.1,"Are strong password policies and procedures established, documented, approved, communicated, implemented, applied, evaluated, and maintained?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,IAM-02.2,Are strong password policies and procedures reviewed and updated at least annually?,,,,missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Identity Inventory,IAM-03,"Manage, store, and regularly review the inventory of identities, and monitor their level of access.",IAM-03.1,"Is the inventory of identities managed, stored and regularly reviewed, and is their level of access monitored?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Separation of Duties,IAM-04,Employ the separation of duties principle when implementing information system access.,IAM-04.1,Are separation of duties principles employed when implementing information system access?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Least Privilege,IAM-05,Employ the least privilege principle when implementing information system access.,IAM-05.1,Are least privilege principles employed when implementing information system access?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,User Access Provisioning,IAM-06,"Define and implement an identity access provisioning process which authorizes, records, and communicates access changes to data and assets.",IAM-06.1,"Is an identity access provisioning process which authorizes, records, and communicates access changes to data and assets, defined and implemented?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,User Access Changes and Revocation,IAM-07,De-provision or modify identity access in a timely manner.,IAM-07.1,"Is identity access de-provisioned or modified, in a timely manner?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,User Access Review,IAM-08,"Review and revalidate user access for least privilege and separation of duties with a frequency that is commensurated with organizational risk tolerance and at least annually, or upon significant changes.",IAM-08.1,Are user access for least privilege and separation of duties reviewed and revalidated with a frequency commensurated with organizational risk tolerance and at least annually or upon significant changes?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Segregation of Privileged Access Roles,IAM-09,"Define, implement and evaluate processes, procedures and technical measures for the segregation of privileged access roles.",IAM-09.1,"Are processes, procedures, and technical measures for the segregation of privileged access roles, defined, implemented, and evaluated?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Management of Privileged Access Roles,IAM-10,"Define and implement an access process to ensure privileged access roles and rights are granted for a time limited period, and implement procedures to prevent the accumulation of segregated privileged access.",IAM-10.1,Is an access process defined and implemented to ensure privileged access roles and rights are granted for a time-limited period?,Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,IAM-10.2,Are procedures implemented to prevent the accumulation of segregated privileged access?,,,,missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Customers' Approval for Agreed Privileged Access Roles,IAM-11,"Define, implement and evaluate processes and procedures for customers to participate, where applicable, in the granting of access for agreed, high risk (as defined by the organizational risk assessment) privileged access roles.",IAM-11.1,"Are processes and procedures defined, implemented, and evaluated for customers to participate, where applicable, in granting access for agreed high-risk (as defined by the organizational risk assessment) privileged access roles?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Safeguard Logs Integrity,IAM-12,"Define, implement and evaluate processes, procedures and technical measures to ensure the logging infrastructure is read-only for all with write access, including privileged access roles, and that the ability to disable it is controlled through a procedure that ensures the segregation of duties and break glass procedures.",IAM-12.1,"Are processes, procedures, and technical measures defined, implemented, evaluated to ensure the logging infrastructure is read-only for all with write access, including privileged access roles, and that the ability to disable it, is controlled through a procedure that ensures the segregation of duties and break glass procedures?",Cloud & AI Related,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Uniquely Identifiable Users,IAM-13,"Define, implement and evaluate processes, procedures and technical measures, that ensure identities’ activities are identifiable through uniquely associated IDs.",IAM-13.1,"Are processes, procedures, and technical measures, that ensure identities’ activities are identifiable through uniquely associated IDs, defined, implemented, and evaluated?",Cloud & AI Related,"Data poisoning, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Strong Authentication,IAM-14,"Define, implement and evaluate processes, procedures and technical measures for authenticating access to systems, application and data assets, including multifactor authentication for at least privileged user and sensitive data access. Adopt digital certificates or alternatives which achieve an equivalent level of security for system identities.",IAM-14.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for authenticating access to systems, applications, and data assets, including multifactor authentication for at least privileged user and sensitive data access?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,IAM-14.2,Are digital certificates or alternatives adopted that achieve an equivalent level of security for system identities?,,,,missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Passwords and Secrets Management,IAM-15,"Define, implement and evaluate processes, procedures and technical measures for the secure management of passwords and other secrets.",IAM-15.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated for the secure management of passwords and other secrets?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Authorization Mechanisms,IAM-16,"Define, implement and evaluate processes, procedures and technical measures to verify access to data and system functions is authorized.",IAM-16.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to verify access to data and system functions are authorized?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Knowledge Access Control - Need to Know,IAM-17,"Define policy and procedure for ""need to know"" access to knowledge, information and data within the organization and in the context of the AI system to be applied when regulating access to resources.",IAM-17.1,"Are policies and procedures defined for ""need to know"" access to knowledge, information and data within the organization and in the context of the AI system to be applied when regulating access to resources?",Cloud & AI Related,"Sensitive data disclosure, Model theft, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Output Modification and Special Authorization,IAM-18,"When allowing model output modification of AI generated output, establish a role for this access and allow changes only by authorized identities.",IAM-18.1,Are role for access when allowing model output modification of AI-generated output established to ensure changes are made only by authorized identities?,AI-Specific,"Model manipulation, Data poisoning, Sensitive data disclosure, Model theft, Insecure supply chain, Insecure apps/plugins, Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Identity & Access Management,Agent Access Restriction,IAM-19,"Restrict agents' access to the tools and plugins necessary for the activity or use case at hand, ensuring adherence to the principles of need-to-know and least privilege.",IAM-19.1,"Are agents' access to the tools and plugins necessary for the activity or use case at hand, restricted to ensure adherence to the principles of need-to-know and least privilege?",Cloud & AI Related,"Model manipulation, Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Insecure apps/plugins, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Interoperability & Portability,Interoperability and Portability Policy and Procedures,IPY-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for interoperability and portability including requirements for: a. Communications between application interfaces b. Information processing interoperability c. Application development portability d. Information/Data exchange, usage, portability, integrity, and persistence Review and update the policies and procedures at least annually or upon significant changes.",IPY-01.1,"Are interoperability and portability policies and procedures established, documented, approved, communicated, evaluated, and maintained, including requirements for: a. Communications between application interfaces b. Information processing interoperability c. Application development portability d. Information/Data exchange, usage, portability, integrity, and persistence?",Cloud & AI Related,"Sensitive data disclosure, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
,,,,IPY-01.2,Are interoperability and portability policies and procedures reviewed and updated at least annually or upon significant changes?,,,,missing_info_agent; validation_agent; final_output_agent,
Interoperability & Portability,Application Interface Availability,IPY-02,Provide application interface(s) to AICs so that they programmatically retrieve their data to enable interoperability and portability.,IPY-02.1,Are application interface(s) to AICs provided so that they programmatically retrieve their data to enable interoperability and portability?,Cloud & AI Related,"Sensitive data disclosure, Insecure apps/plugins, Loss of governance/compliance","Network, Compute, Storage, App, Data",missing_info_agent; validation_agent; final_output_agent,
Interoperability & Portability,Secure Interoperability and Portability Management,IPY-03,"Implement cryptographically secure and standardized network protocols for the management, import and export of data, according to industry standards.",IPY-03.1,"Are cryptographically secure and standardized network protocols implemented for the management, import, and export of data, according to industry standards?",Cloud & AI Related,"Data poisoning, Sensitive data disclosure, Insecure apps/plugins, Loss of governance/compliance","Network, Storage, Data",missing_info_agent; validation_agent; final_output_agent,
Interoperability & Portability,Data Portability Contractual Obligations,IPY-04,Agreements must include provisions specifying AICs access to data upon contract termination and will include: a. Data format b. Length of time the data will be stored c. Scope of the data retained and made available to the AICs d. Data deletion policy,IPY-04.1,"Are agreements including provisions specifying AICs access to data upon contract termination, including: a. Data format b. Length of time the data will be stored c. Scope of the data retained and made available to the AICs d. Data deletion policy?",Cloud-Specific,"Insecure apps/plugins, Loss of governance/compliance","Network, Storage, Data",missing_info_agent; validation_agent; final_output_agent,
Infrastructure Security,Infrastructure and Virtualization Security Policy and Procedures,I&S-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for infrastructure and virtualization security. Review and update the policies and procedures at least annually, or upon significant changes.",I&S-01.1,"Has the organization established, documented, approved, communicated, applied, evaluated, and maintained policies and procedures for infrastructure and virtualization security?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage",missing_info_agent; validation_agent; final_output_agent,
,,,,I&S-01.2,"Are these policies and procedures reviewed and updated at least annually, or upon significant changes?",,,,missing_info_agent; validation_agent; final_output_agent,
Infrastructure Security,Capacity and Resource Planning,I&S-02,"Plan and monitor the availability, quality, and adequate capacity of resources in order to deliver the required system performance as determined by the business.",I&S-02.1,"Are availability, quality and the adequate capacity of resources, being planned and monitored in order to deliver the required system performance as determined by the business?",Cloud & AI Related,"Model/Service Failure/Malfunctioning, Denial of Service (DoS), Loss of governance/compliance","Phys, Network, Compute, Storage",missing_info_agent; validation_agent; final_output_agent,
Infrastructure Security,Network Security,I&S-03,"Monitor, encrypt and restrict communications between environments to only authenticated and authorized connections, as justified by the business. Review these configurations at least annually, and support them by a documented justification of all allowed services, protocols, ports, and compensating controls.",I&S-03.1,"Are communications between environments being monitored, encrypted, and restricted to only authenticated and authorized connections, as justified by the business?",Cloud & AI Related,"Sensitive data disclosure, Model/Service Failure/Malfunctioning, Insecure supply chain, Denial of Service (DoS), Loss of governance/compliance","Network, App",missing_info_agent; validation_agent; final_output_agent,
,,,,I&S-03.2,"Are these configurations reviewed at least annually and supported by a documented justification of all allowed services, protocols, ports, and compensating controls?",,,,missing_info_agent; validation_agent; final_output_agent,
